task_id,candidate_id,majority_gate,gate_count,layout_score,text_score,local_graphics_score,total_score,issue_count,single_round_issue_count
task_0000,claude-opus-5__high,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,claude-opus-5__low,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,claude-opus-5__max,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,claude-opus-5__medium,True,2,0.0,0.0,0.0,0.0,0,0
task_0000,claude-opus-5__xhigh,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,claude-sonnet-5__high,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,claude-sonnet-5__low,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,claude-sonnet-5__medium,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,claude-sonnet-5__xhigh,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,gpt-5.5__medium,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,gpt-5.6-luna__high,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,gpt-5.6-luna__low,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,gpt-5.6-luna__max,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,gpt-5.6-luna__medium,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,gpt-5.6-luna__none,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,gpt-5.6-luna__xhigh,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,gpt-5.6-sol__high,True,2,0.0,0.0,0.0,0.0,0,0
task_0000,gpt-5.6-sol__low,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,gpt-5.6-sol__max,False,1,30.0,40.0,29.0,99.0,1,0
task_0000,gpt-5.6-sol__medium,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,gpt-5.6-sol__none,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,gpt-5.6-sol__xhigh,False,0,30.0,37.0,24.0,91.0,5,4
task_0000,gpt-5.6-terra__high,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,gpt-5.6-terra__low,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,gpt-5.6-terra__max,False,1,30.0,24.25,30.0,84.25,5,3
task_0000,gpt-5.6-terra__medium,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,gpt-5.6-terra__none,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,gpt-5.6-terra__xhigh,True,3,0.0,0.0,0.0,0.0,0,0
task_0000,kimi-k3__high,False,0,30.0,40.0,30.0,100.0,0,0
task_0000,qwen3.8-max__xhigh,True,3,0.0,0.0,0.0,0.0,0,0
task_0001,claude-opus-5__high,True,3,0.0,0.0,0.0,0.0,0,0
task_0001,claude-opus-5__low,True,3,0.0,0.0,0.0,0.0,0,0
task_0001,claude-opus-5__max,False,0,19.0,16.25,16.87,52.12,16,6
task_0001,claude-opus-5__medium,False,0,15.0,16.0,19.25,50.25,17,10
task_0001,claude-opus-5__xhigh,True,3,0.0,0.0,0.0,0.0,0,0
task_0001,claude-sonnet-5__high,True,3,0.0,0.0,0.0,0.0,0,0
task_0001,claude-sonnet-5__low,True,3,0.0,0.0,0.0,0.0,0,0
task_0001,claude-sonnet-5__medium,True,2,0.0,0.0,0.0,0.0,0,0
task_0001,claude-sonnet-5__xhigh,True,3,0.0,0.0,0.0,0.0,0,0
task_0001,gpt-5.5__medium,True,3,0.0,0.0,0.0,0.0,0,0
task_0001,gpt-5.6-luna__high,False,0,30.0,26.87,27.0,83.87,5,1
task_0001,gpt-5.6-luna__low,True,3,0.0,0.0,0.0,0.0,0,0
task_0001,gpt-5.6-luna__max,False,0,30.0,7.0,27.0,64.0,9,5
task_0001,gpt-5.6-luna__medium,True,3,0.0,0.0,0.0,0.0,0,0
task_0001,gpt-5.6-luna__none,True,3,0.0,0.0,0.0,0.0,0,0
task_0001,gpt-5.6-luna__xhigh,True,3,0.0,0.0,0.0,0.0,0,0
task_0001,gpt-5.6-sol__high,False,0,30.0,11.75,25.25,67.0,10,4
task_0001,gpt-5.6-sol__low,True,3,0.0,0.0,0.0,0.0,0,0
task_0001,gpt-5.6-sol__max,False,0,30.0,16.5,25.0,71.5,9,5
task_0001,gpt-5.6-sol__medium,False,1,26.25,25.5,22.75,74.5,9,8
task_0001,gpt-5.6-sol__none,True,3,0.0,0.0,0.0,0.0,0,0
task_0001,gpt-5.6-sol__xhigh,False,0,30.0,12.5,22.5,65.0,9,3
task_0001,gpt-5.6-terra__high,True,3,0.0,0.0,0.0,0.0,0,0
task_0001,gpt-5.6-terra__low,True,3,0.0,0.0,0.0,0.0,0,0
task_0001,gpt-5.6-terra__max,True,3,0.0,0.0,0.0,0.0,0,0
task_0001,gpt-5.6-terra__medium,True,3,0.0,0.0,0.0,0.0,0,0
task_0001,gpt-5.6-terra__none,True,3,0.0,0.0,0.0,0.0,0,0
task_0001,gpt-5.6-terra__xhigh,False,0,30.0,11.75,25.0,66.75,10,5
task_0001,kimi-k3__high,False,0,30.0,25.0,28.75,83.75,4,0
task_0001,qwen3.8-max__xhigh,False,0,28.75,24.12,22.5,75.37,8,5
task_0004,claude-opus-5__high,True,3,0.0,0.0,0.0,0.0,0,0
task_0004,claude-opus-5__low,True,3,0.0,0.0,0.0,0.0,0,0
task_0004,claude-opus-5__max,False,1,28.75,31.0,16.25,76.0,11,5
task_0004,claude-opus-5__medium,True,2,0.0,0.0,0.0,0.0,0,0
task_0004,claude-opus-5__xhigh,False,1,27.5,35.5,19.5,82.5,10,3
task_0004,claude-sonnet-5__high,True,3,0.0,0.0,0.0,0.0,0,0
task_0004,claude-sonnet-5__low,True,3,0.0,0.0,0.0,0.0,0,0
task_0004,claude-sonnet-5__medium,True,2,0.0,0.0,0.0,0.0,0,0
task_0004,claude-sonnet-5__xhigh,True,3,0.0,0.0,0.0,0.0,0,0
task_0004,gpt-5.5__medium,True,3,0.0,0.0,0.0,0.0,0,0
